epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5724,1.45271,10.4623,2.05555,0.48745,0.14286,0.21976,0.09135,1.54246,9.68906,1.96207,0.0002,0.0002,0.0902
2,20.5366,1.97435,19.8231,2.46216,0.0148,0.57143,0.0119,0.00207,3.21562,113.606,4.75079,0.000419968,0.000419968,0.07942
3,22.8835,3.14875,18.0193,3.20051,0,0,0,0,4.40954,3050.6,13.566,0.000639807,0.000639807,0.0686398
4,25.2146,3.24009,7.71893,3.6147,0,0,0,0,nan,nan,nan,0.000859417,0.000859417,0.0578594
5,27.3307,3.51616,5.48593,3.61578,0,0,0,0,nan,nan,nan,0.0010787,0.0010787,0.0470787
6,29.4628,3.0135,5.25039,3.18881,0,0,0,0,nan,nan,nan,0.00129755,0.00129755,0.0362976
7,31.679,3.00678,4.37871,3.52083,0,0,0,0,nan,nan,nan,0.00151588,0.00151588,0.0255159
8,33.7057,2.93193,4.09815,3.19471,0,0,0,0,nan,nan,nan,0.00173358,0.00173358,0.0147336
9,35.9277,3.30796,4.046,3.61758,0,0,0,0,nan,nan,nan,0.00195056,0.00195056,0.00395056
10,37.8826,3.36083,3.92708,3.6263,0,0,0,0,nan,nan,nan,0.00198781,0.00198781,0.00198781
11,39.7664,3.18888,4.14699,3.61811,0,0,0,0,nan,nan,nan,0.00198496,0.00198496,0.00198496
12,41.678,2.83091,4.43563,3.18461,0,0,0,0,nan,nan,nan,0.00198181,0.00198181,0.00198181
13,43.7596,2.9293,3.73504,3.29197,0,0,0,0,nan,nan,nan,0.00197837,0.00197837,0.00197837
14,45.5587,3.11513,3.86411,3.55749,0,0,0,0,nan,nan,nan,0.00197463,0.00197463,0.00197463
15,47.3292,3.20956,3.77985,3.52322,0,0,0,0,nan,nan,nan,0.00197059,0.00197059,0.00197059
16,49.114,3.0125,3.75239,3.45116,0,0,0,0,nan,nan,nan,0.00196627,0.00196627,0.00196627
17,50.9278,3.13142,4.18987,3.54403,0,0,0,0,nan,nan,nan,0.00196165,0.00196165,0.00196165
18,52.7221,3.02804,3.99887,3.25032,0,0,0,0,nan,nan,nan,0.00195674,0.00195674,0.00195674
19,54.6635,3.30377,3.8589,3.40735,0,0,0,0,nan,nan,nan,0.00195155,0.00195155,0.00195155
20,56.4126,2.9469,3.90311,3.3648,0,0,0,0,nan,nan,nan,0.00194606,0.00194606,0.00194606
21,58.2717,2.98659,3.69986,3.41815,0,0,0,0,nan,nan,nan,0.0019403,0.0019403,0.0019403
22,59.947,2.74627,3.801,3.08503,0,0,0,0,nan,nan,nan,0.00193424,0.00193424,0.00193424
23,61.8386,3.04234,3.67268,3.52174,0.00238,0.28571,0.00145,0.0007,nan,nan,nan,0.00192791,0.00192791,0.00192791
24,63.6419,2.72695,3.75171,3.18732,0.00379,0.57143,0.00273,0.0012,nan,nan,nan,0.0019213,0.0019213,0.0019213
25,65.4128,2.93085,3.65264,3.37098,0.00379,0.57143,0.00273,0.0012,nan,nan,nan,0.00191441,0.00191441,0.00191441
26,67.2574,3.0102,3.51089,3.38705,0.00403,0.14286,0.0016,0.00065,nan,nan,nan,0.00190724,0.00190724,0.00190724
27,69.4907,2.93421,3.96989,3.34407,0,0,0,0,nan,nan,nan,0.00189981,0.00189981,0.00189981
28,71.5421,3.07541,3.79085,3.38333,0,0,0,0,nan,nan,nan,0.0018921,0.0018921,0.0018921
29,73.3788,2.94735,4.06503,3.31173,0,0,0,0,nan,nan,nan,0.00188412,0.00188412,0.00188412
30,75.1702,2.8323,3.73947,3.36273,0,0,0,0,nan,nan,nan,0.00187587,0.00187587,0.00187587
31,77.0123,3.02114,3.96269,3.34372,0,0,0,0,nan,nan,nan,0.00186737,0.00186737,0.00186737
32,79.186,2.8841,3.6375,3.34493,0,0,0,0,nan,nan,nan,0.0018586,0.0018586,0.0018586
33,81.1825,2.85346,3.72994,3.25693,0,0,0,0,nan,nan,nan,0.00184957,0.00184957,0.00184957
34,83.0549,2.8398,3.84529,3.38892,0,0,0,0,nan,nan,nan,0.00184028,0.00184028,0.00184028
35,84.8521,2.83007,3.64909,3.34342,0,0,0,0,nan,nan,nan,0.00183075,0.00183075,0.00183075
36,86.6927,2.92032,3.55515,3.32703,0,0,0,0,nan,nan,nan,0.00182096,0.00182096,0.00182096
37,88.5456,2.79686,3.56126,3.29375,0,0,0,0,nan,nan,nan,0.00181093,0.00181093,0.00181093
38,90.3762,2.91646,3.80267,3.25678,0,0,0,0,nan,nan,nan,0.00180065,0.00180065,0.00180065
39,92.3091,2.61853,3.50084,3.16966,0,0,0,0,nan,nan,nan,0.00179013,0.00179013,0.00179013
40,94.2413,2.70386,3.77859,3.19149,0,0,0,0,nan,nan,nan,0.00177937,0.00177937,0.00177937
41,96.1491,2.74208,3.5266,3.17617,0,0,0,0,nan,nan,nan,0.00176838,0.00176838,0.00176838
