epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.96538,1.61957,4.21758,2.1142,0.00973,0.05882,0.00273,0.0004,5.46158,24.8793,7.37129,0.00093,0.00093,0.06993
2,9.87031,1.29293,1.44637,1.85198,0,0,0,0,nan,nan,nan,0.00188976,0.00188976,0.0388898
3,13.4754,1.3757,1.22105,1.96504,0,0,0,0,nan,nan,nan,0.00284858,0.00284858,0.00784858
4,17.0705,1.11866,1.08739,1.76947,0,0,0,0,nan,nan,nan,0.00299664,0.00299664,0.00299664
5,20.724,0.96287,0.91404,1.65299,0,0,0,0,nan,nan,nan,0.00299402,0.00299402,0.00299402
6,24.8557,0.89331,0.79768,1.53987,0.19953,0.64516,0.17872,0.05858,nan,nan,nan,0.00299066,0.00299066,0.00299066
7,29.1187,0.81812,0.77051,1.47839,0.18315,0.91176,0.18197,0.07405,1.71862,9.9932,3.1119,0.00298656,0.00298656,0.00298656
8,33.6774,0.79058,0.73456,1.44559,0.54676,0.82353,0.54904,0.20467,2.15896,3.59128,2.6372,0.00298172,0.00298172,0.00298172
9,38.1703,0.74087,0.6793,1.40581,0.91403,1,0.9794,0.56582,1.37367,1.04545,1.96908,0.00297614,0.00297614,0.00297614
10,42.1528,0.75042,0.68289,1.43501,0.60906,0.85294,0.66189,0.31889,1.67022,3.02341,2.64401,0.00296982,0.00296982,0.00296982
11,45.7411,0.75505,0.68409,1.44927,0.96415,0.97059,0.98279,0.6416,1.04325,0.87805,1.55954,0.00296277,0.00296277,0.00296277
12,49.746,0.70965,0.65536,1.4296,0.92394,0.97059,0.97617,0.44899,1.76854,1.15379,2.7147,0.00295499,0.00295499,0.00295499
13,53.5183,0.69739,0.6668,1.38835,0.97075,1,0.995,0.75302,1.00244,0.63594,1.6301,0.00294648,0.00294648,0.00294648
14,57.4809,0.62856,0.5985,1.34613,0.97481,1,0.995,0.69816,1.04092,1.15576,1.91752,0.00293726,0.00293726,0.00293726
15,61.0314,0.66092,0.60198,1.34962,0.97101,0.98519,0.99443,0.74136,0.9834,0.62224,1.58783,0.00292732,0.00292732,0.00292732
16,64.6899,0.62525,0.587,1.3263,0.99806,1,0.995,0.80807,0.79937,0.57378,1.35388,0.00291667,0.00291667,0.00291667
17,68.8704,0.56931,0.53132,1.27011,0.99577,1,0.995,0.78392,0.80939,0.67322,1.19473,0.00290531,0.00290531,0.00290531
18,72.5594,0.55809,0.53984,1.29509,0.99828,1,0.995,0.81015,0.72956,0.56735,1.23511,0.00289325,0.00289325,0.00289325
19,76.5022,0.5713,0.52169,1.29414,1,0.99817,0.995,0.78965,0.76883,0.54988,1.25166,0.0028805,0.0028805,0.0028805
20,80.2739,0.56029,0.53846,1.28654,1,0.99859,0.995,0.78072,0.89341,0.57194,1.2384,0.00286706,0.00286706,0.00286706
21,84.02,0.54058,0.50911,1.26903,0.96523,0.97059,0.95747,0.81086,0.71933,0.62154,1.33719,0.00285294,0.00285294,0.00285294
22,88.264,0.55969,0.53321,1.25706,0.99742,1,0.995,0.8005,0.76084,0.63384,1.44423,0.00283814,0.00283814,0.00283814
23,92.0144,0.54105,0.47786,1.2559,0.99777,1,0.995,0.85441,0.70559,0.50587,1.15524,0.00282268,0.00282268,0.00282268
24,96.5765,0.57551,0.49961,1.28653,0.94437,0.99854,0.99301,0.834,0.70613,0.55428,1.07778,0.00280657,0.00280657,0.00280657
25,100.698,0.5745,0.50085,1.29257,0.96929,1,0.99443,0.69857,1.10147,0.64495,1.75354,0.0027898,0.0027898,0.0027898
26,104.951,0.50803,0.45593,1.23822,0.96894,1,0.99443,0.73828,0.99757,0.61038,1.4462,0.00277239,0.00277239,0.00277239
27,109.325,0.50856,0.45508,1.23759,1,0.99416,0.995,0.81821,0.65463,0.52865,1.00264,0.00275434,0.00275434,0.00275434
28,113.677,0.52953,0.4796,1.24373,0.99405,0.97059,0.99389,0.88933,0.6119,0.50125,1.16282,0.00273567,0.00273567,0.00273567
29,118.143,0.54806,0.5051,1.27095,0.9927,1,0.995,0.7806,0.88984,0.60897,1.26256,0.00271639,0.00271639,0.00271639
30,122.655,0.52117,0.47238,1.23904,1,0.99953,0.995,0.83538,0.59729,0.55922,1.04824,0.0026965,0.0026965,0.0026965
31,126.863,0.51832,0.47436,1.25501,0.96896,1,0.97929,0.77188,0.78279,0.6232,1.20765,0.00267602,0.00267602,0.00267602
32,130.765,0.50005,0.46141,1.22752,0.98512,1,0.995,0.86357,0.58857,0.65768,0.86614,0.00265495,0.00265495,0.00265495
33,134.559,0.48348,0.43854,1.22083,0.99865,1,0.995,0.84253,0.67006,0.4841,1.13084,0.00263331,0.00263331,0.00263331
34,138.313,0.43414,0.40593,1.16365,0.99844,1,0.995,0.89208,0.58984,0.47135,1.04463,0.00261111,0.00261111,0.00261111
35,142.335,0.45081,0.40773,1.1783,0.99826,1,0.995,0.88441,0.5454,0.62942,1.09177,0.00258835,0.00258835,0.00258835
