epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9337,1.65174,1.96022,0.99009,4e-05,0.00026,2e-05,2e-05,2.00722,inf,1.31523,0.000811404,0.000811404,0.0683553
2,30.4079,1.38681,1.03325,0.96717,2e-05,0.00214,1e-05,0,nan,nan,nan,0.00164458,0.00164458,0.0358551
3,35.5574,1.45948,0.98768,0.97179,0,0,0,0,nan,nan,nan,0.00247712,0.00247712,0.00335432
4,41.9857,1.41961,0.9723,0.9673,0.25775,0.35735,0.27474,0.15721,1.52717,1.31921,1.04971,0.00249785,0.00249785,0.00249785
5,47.0526,1.37565,0.89676,0.93353,0.41289,0.46947,0.4181,0.21266,1.35384,1.79116,0.96669,0.00249619,0.00249619,0.00249619
6,52.1135,1.29224,0.8772,0.91901,0.42185,0.45673,0.36937,0.18497,1.38708,1.37904,0.96095,0.00249404,0.00249404,0.00249404
7,56.7762,1.28977,0.83252,0.91648,0.38018,0.49031,0.4414,0.21852,1.34321,1.25821,0.98663,0.00249142,0.00249142,0.00249142
8,61.6675,1.25137,0.81116,0.9094,0.6926,0.63042,0.67021,0.3634,1.21032,0.96602,0.93848,0.00248833,0.00248833,0.00248833
9,66.6174,1.26101,0.77579,0.91577,0.61362,0.54353,0.56473,0.30687,1.25644,1.02027,0.94131,0.00248476,0.00248476,0.00248476
10,71.3411,1.26893,0.78623,0.92356,0.69535,0.51747,0.58108,0.31241,1.24646,1.04338,0.93756,0.00248073,0.00248073,0.00248073
11,76.0151,1.23207,0.73798,0.89962,0.64108,0.51553,0.58024,0.3202,1.28134,0.89884,0.92724,0.00247622,0.00247622,0.00247622
12,82.0917,1.20526,0.71892,0.89052,0.70778,0.62845,0.66516,0.39023,1.13063,0.70362,0.89288,0.00247125,0.00247125,0.00247125
13,87.0126,1.17937,0.69928,0.88867,0.81666,0.60186,0.70751,0.41817,1.09632,0.68995,0.89495,0.00246581,0.00246581,0.00246581
14,91.9124,1.13836,0.67637,0.88005,0.75741,0.68086,0.68062,0.40633,1.09925,0.68176,0.89118,0.0024599,0.0024599,0.0024599
15,96.753,1.13657,0.65667,0.88313,0.83519,0.72527,0.75021,0.45787,1.03986,0.60962,0.88139,0.00245354,0.00245354,0.00245354
16,101.63,1.13797,0.64466,0.87192,0.80918,0.60439,0.72994,0.45707,1.05476,0.64536,0.87725,0.00244671,0.00244671,0.00244671
17,106.297,1.08989,0.6414,0.86763,0.74971,0.74404,0.78652,0.48526,1.00241,0.60511,0.86519,0.00243943,0.00243943,0.00243943
18,111.164,1.11417,0.64462,0.8705,0.81942,0.70417,0.75355,0.45756,1.05199,0.60171,0.87858,0.0024317,0.0024317,0.0024317
19,115.723,1.10075,0.64035,0.87284,0.85106,0.73656,0.77831,0.46215,1.05501,0.6104,0.878,0.00242351,0.00242351,0.00242351
20,120.335,1.13231,0.64049,0.87403,0.88427,0.67977,0.77492,0.47284,1.0744,0.65388,0.88523,0.00241488,0.00241488,0.00241488
21,124.869,1.08174,0.619,0.86418,0.91812,0.74484,0.81548,0.49643,1.01305,0.57445,0.87196,0.0024058,0.0024058,0.0024058
22,129.861,1.08923,0.6073,0.86231,0.75616,0.75074,0.76516,0.46674,1.1318,0.64648,0.88295,0.00239628,0.00239628,0.00239628
23,135.104,1.0743,0.58488,0.87026,0.83769,0.69804,0.76353,0.46589,1.09635,0.58392,0.89644,0.00238633,0.00238633,0.00238633
