epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9467,0,51.49,0,0,0,0,0,5.34169,6.18233,4.11202,0.000370924,0.000370924,0.0756427
2,30.652,0,7e-05,0,0,0,0,0,0,0,0,0.000745868,0.000745868,0.0510176
3,38.958,0,0,0,0,0,0,0,0,0,0,0.00112059,0.00112059,0.0263923
4,47.3303,0,0,0,0,0,0,0,0,0,0,0.00149491,0.00149491,0.00176665
5,55.8584,0,0,0,0,0,0,0,0,0,0,0.00149819,0.00149819,0.00149819
6,64.2474,0,0,0,0,0,0,0,0,0,0,0.00149717,0.00149717,0.00149717
7,72.4963,0,0,0,0,0,0,0,0,0,0,0.00149593,0.00149593,0.00149593
8,81.0791,0,0,0,0,0,0,0,0,0,0,0.00149447,0.00149447,0.00149447
9,89.5042,0,0,0,0,0,0,0,0,0,0,0.00149277,0.00149277,0.00149277
10,98.0336,0,0,0,0,0,0,0,0,0,0,0.00149086,0.00149086,0.00149086
11,106.294,0,0,0,0,0,0,0,0,0,0,0.00148872,0.00148872,0.00148872
12,114.761,0,0,0,0,0,0,0,0,0,0,0.00148636,0.00148636,0.00148636
13,123.316,0,0,0,0,0,0,0,0,0,0,0.00148377,0.00148377,0.00148377
14,132.394,0,0,0,0,0,0,0,0,0,0,0.00148097,0.00148097,0.00148097
15,140.646,0,0,0,0,0,0,0,0,0,0,0.00147794,0.00147794,0.00147794
16,149.154,0,0,0,0,0,0,0,0,0,0,0.0014747,0.0014747,0.0014747
17,157.557,0,0,0,0,0,0,0,0,0,0,0.00147124,0.00147124,0.00147124
18,165.931,0,0,0,0,0,0,0,0,0,0,0.00146756,0.00146756,0.00146756
19,174.307,0,0,0,0,0,0,0,0,0,0,0.00146366,0.00146366,0.00146366
20,182.72,0,0,0,0,0,0,0,0,0,0,0.00145955,0.00145955,0.00145955
21,191.235,0,0,0,0,0,0,0,0,0,0,0.00145522,0.00145522,0.00145522
22,199.451,0,0,0,0,0,0,0,0,0,0,0.00145068,0.00145068,0.00145068
23,207.779,0,0,0,0,0,0,0,0,0,0,0.00144593,0.00144593,0.00144593
24,216.368,0,0,0,0,0,0,0,0,0,0,0.00144097,0.00144097,0.00144097
25,225.453,0,0,0,0,0,0,0,0,0,0,0.00143581,0.00143581,0.00143581
26,233.804,0,0,0,0,0,0,0,0,0,0,0.00143043,0.00143043,0.00143043
27,242.35,0,0,0,0,0,0,0,0,0,0,0.00142485,0.00142485,0.00142485
28,250.779,0,0,0,0,0,0,0,0,0,0,0.00141907,0.00141907,0.00141907
29,259.226,0,0,0,0,0,0,0,0,0,0,0.00141309,0.00141309,0.00141309
30,267.707,0,0,0,0,0,0,0,0,0,0,0.00140691,0.00140691,0.00140691
31,276.281,0,0,0,0,0,0,0,0,0,0,0.00140052,0.00140052,0.00140052
32,284.828,0,0,0,0,0,0,0,0,0,0,0.00139395,0.00139395,0.00139395
33,293.41,0,0,0,0,0,0,0,0,0,0,0.00138718,0.00138718,0.00138718
34,301.772,0,0,0,0,0,0,0,0,0,0,0.00138021,0.00138021,0.00138021
35,310.162,0,0,0,0,0,0,0,0,0,0,0.00137306,0.00137306,0.00137306
36,318.628,0,0,0,0,0,0,0,0,0,0,0.00136572,0.00136572,0.00136572
37,327.227,0,0,0,0,0,0,0,0,0,0,0.0013582,0.0013582,0.0013582
38,335.755,0,0,0,0,0,0,0,0,0,0,0.00135049,0.00135049,0.00135049
39,344.285,0,0,0,0,0,0,0,0,0,0,0.0013426,0.0013426,0.0013426
40,352.71,0,0,0,0,0,0,0,0,0,0,0.00133453,0.00133453,0.00133453
41,361.302,0,0,0,0,0,0,0,0,0,0,0.00132629,0.00132629,0.00132629
42,369.77,0,0,0,0,0,0,0,0,0,0,0.00131787,0.00131787,0.00131787
43,378.37,0,0,0,0,0,0,0,0,0,0,0.00130929,0.00130929,0.00130929
44,386.805,0,0,0,0,0,0,0,0,0,0,0.00130053,0.00130053,0.00130053
45,395.218,0,0,0,0,0,0,0,0,0,0,0.00129161,0.00129161,0.00129161
46,403.682,0,0,0,0,0,0,0,0,0,0,0.00128253,0.00128253,0.00128253
47,412.192,0,0,0,0,0,0,0,0,0,0,0.00127328,0.00127328,0.00127328
48,420.797,0,0,0,0,0,0,0,0,0,0,0.00126388,0.00126388,0.00126388
49,429.129,0,0,0,0,0,0,0,0,0,0,0.00125433,0.00125433,0.00125433
50,437.482,0,0,0,0,0,0,0,0,0,0,0.00124462,0.00124462,0.00124462
51,445.962,0,0,0,0,0,0,0,0,0,0,0.00123477,0.00123477,0.00123477
52,454.236,0,0,0,0,0,0,0,0,0,0,0.00122477,0.00122477,0.00122477
53,462.74,0,0,0,0,0,0,0,0,0,0,0.00121463,0.00121463,0.00121463
54,471.117,0,0,0,0,0,0,0,0,0,0,0.00120435,0.00120435,0.00120435
55,479.633,0,0,0,0,0,0,0,0,0,0,0.00119393,0.00119393,0.00119393
56,488.325,0,0,0,0,0,0,0,0,0,0,0.00118338,0.00118338,0.00118338
57,497.084,0,0,0,0,0,0,0,0,0,0,0.0011727,0.0011727,0.0011727
58,505.713,0,0,0,0,0,0,0,0,0,0,0.00116189,0.00116189,0.00116189
59,514.311,0,0,0,0,0,0,0,0,0,0,0.00115097,0.00115097,0.00115097
60,522.789,0,0,0,0,0,0,0,0,0,0,0.00113992,0.00113992,0.00113992
61,531.165,0,0,0,0,0,0,0,0,0,0,0.00112875,0.00112875,0.00112875
62,539.642,0,0,0,0,0,0,0,0,0,0,0.00111747,0.00111747,0.00111747
63,548.439,0,0,0,0,0,0,0,0,0,0,0.00110608,0.00110608,0.00110608
64,556.968,0,0,0,0,0,0,0,0,0,0,0.00109459,0.00109459,0.00109459
65,565.11,0,0,0,0,0,0,0,0,0,0,0.00108299,0.00108299,0.00108299
66,573.648,0,0,0,0,0,0,0,0,0,0,0.00107129,0.00107129,0.00107129
67,582.14,0,0,0,0,0,0,0,0,0,0,0.0010595,0.0010595,0.0010595
68,591.598,0,0,0,0,0,0,0,0,0,0,0.00104762,0.00104762,0.00104762
69,600.192,0,0,0,0,0,0,0,0,0,0,0.00103565,0.00103565,0.00103565
70,608.997,0,0,0,0,0,0,0,0,0,0,0.00102359,0.00102359,0.00102359
71,619.303,0,0,0,0,0,0,0,0,0,0,0.00101145,0.00101145,0.00101145
72,630.057,0,0,0,0,0,0,0,0,0,0,0.000999234,0.000999234,0.000999234
73,638.665,0,0,0,0,0,0,0,0,0,0,0.000986945,0.000986945,0.000986945
74,648.847,0,0,0,0,0,0,0,0,0,0,0.000974586,0.000974586,0.000974586
75,661.85,0,0,0,0,0,0,0,0,0,0,0.000962161,0.000962161,0.000962161
