epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.195,1.55151,3.08154,1.81328,0.37871,0.19732,0.21424,0.12363,2.1528,4.61278,2.00094,0.000236923,0.000236923,0.0804933
2,77.2113,1.46553,2.024,1.737,0.68341,0.15752,0.13898,0.07963,1.98785,9.25354,2.09339,0.000476878,0.000476878,0.0607333
3,104.314,1.48525,1.79812,1.74186,0.02932,0.13227,0.01793,0.0079,2.65347,11.7313,3.53509,0.000716649,0.000716649,0.0409731
4,131.678,1.4349,1.72449,1.69975,0.61413,0.31666,0.31548,0.19323,2.43412,10.2092,3.06854,0.000956102,0.000956102,0.0212125
5,159.751,1.38592,1.67304,1.64204,0.25297,0.42451,0.33496,0.21034,1.96821,6.14766,2.11955,0.0011951,0.0011951,0.00145151
6,187.283,1.33282,1.5885,1.63635,0.31524,0.44084,0.31514,0.21351,2.06883,5.67487,2.2351,0.00119714,0.00119714,0.00119714
7,215.048,1.29837,1.57925,1.61785,0.40613,0.36518,0.37476,0.23,1.90133,4.97729,1.88325,0.00119588,0.00119588,0.00119588
8,243.123,1.27987,1.5132,1.59633,0.67113,0.50422,0.55212,0.37106,1.75659,3.31934,1.61082,0.0011944,0.0011944,0.0011944
9,270.619,1.2299,1.42375,1.51439,0.56523,0.48873,0.54403,0.39632,1.7151,3.27118,1.57268,0.00119269,0.00119269,0.00119269
10,298.215,1.21926,1.34643,1.49548,0.45095,0.38968,0.35242,0.24825,1.93315,3.21929,1.76003,0.00119075,0.00119075,0.00119075
11,325.193,1.18676,1.30319,1.48796,0.64807,0.51403,0.57072,0.33886,1.7801,1.87501,1.49913,0.00118859,0.00118859,0.00118859
12,352.359,1.21153,1.27561,1.5049,0.6446,0.65115,0.6227,0.42257,1.69945,2.03052,1.48582,0.0011862,0.0011862,0.0011862
13,379.806,1.17689,1.28188,1.46555,0.70035,0.65601,0.69338,0.45694,1.68054,1.63696,1.42882,0.00118359,0.00118359,0.00118359
14,406.947,1.12371,1.17984,1.43755,0.63053,0.65847,0.65396,0.42652,1.54772,1.76074,1.3966,0.00118075,0.00118075,0.00118075
15,434.028,1.10985,1.14542,1.41781,0.67533,0.62808,0.63927,0.43221,1.55478,1.64482,1.3107,0.0011777,0.0011777,0.0011777
16,461.136,1.09296,1.09009,1.4052,0.66878,0.57593,0.63993,0.45514,1.49984,1.56147,1.2913,0.00117442,0.00117442,0.00117442
17,488.087,1.13712,1.12176,1.42132,0.67663,0.61344,0.67898,0.50585,1.46017,1.60902,1.24872,0.00117093,0.00117093,0.00117093
18,515.349,1.09904,1.06691,1.39277,0.56798,0.58483,0.58527,0.41016,1.44677,1.74958,1.30071,0.00116721,0.00116721,0.00116721
19,542.401,1.06262,1.05088,1.38569,0.73694,0.60686,0.69042,0.50249,1.47662,1.54102,1.32734,0.00116329,0.00116329,0.00116329
20,569.405,1.0527,1.0288,1.3923,0.6604,0.72971,0.73556,0.53186,1.47522,1.25178,1.28346,0.00115914,0.00115914,0.00115914
21,596.565,1.06925,0.98279,1.35985,0.66112,0.63657,0.67654,0.48643,1.50248,1.38386,1.42502,0.00115478,0.00115478,0.00115478
22,623.366,1.03618,0.97606,1.34305,0.71833,0.57883,0.65876,0.48756,1.5165,1.32604,1.2737,0.00115022,0.00115022,0.00115022
23,650.403,1.03459,0.95593,1.33794,0.69864,0.50871,0.62839,0.47513,1.41753,1.40629,1.24053,0.00114544,0.00114544,0.00114544
24,677.163,1.0551,0.95721,1.35102,0.65416,0.66978,0.70334,0.54176,1.42173,1.13843,1.26422,0.00114045,0.00114045,0.00114045
25,704.348,1.02081,0.96896,1.35972,0.7864,0.65384,0.74602,0.56627,1.38897,1.2998,1.19749,0.00113526,0.00113526,0.00113526
26,731.564,1.04179,0.98149,1.32966,0.85559,0.66722,0.75789,0.53426,1.42474,1.1507,1.28598,0.00112986,0.00112986,0.00112986
27,758.495,0.99065,0.93567,1.35085,0.782,0.63318,0.71974,0.52938,1.37966,1.20636,1.19362,0.00112426,0.00112426,0.00112426
28,785.201,1.00559,0.9144,1.33883,0.82894,0.63091,0.74037,0.56012,1.38766,1.2274,1.22569,0.00111846,0.00111846,0.00111846
29,812.213,0.97402,0.91008,1.34428,0.76195,0.69054,0.73122,0.51929,1.44773,1.35208,1.29462,0.00111247,0.00111247,0.00111247
30,839.245,0.94501,0.87159,1.30698,0.82332,0.65486,0.75228,0.57218,1.39641,1.10952,1.27848,0.00110628,0.00110628,0.00110628
31,866.586,0.93499,0.88157,1.32062,0.76701,0.70511,0.75182,0.56791,1.43013,1.10715,1.17169,0.00109989,0.00109989,0.00109989
