epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.59402,1.6927,10.6904,0.58812,2.11198,2.24496,0.0293,1,0.03019,0.00949,0,0,0,0,2.81931,11.7208,0.82218,inf,5.92771,0.00093,0.00093,0.06993
2,10.9145,1.2869,10.2154,0.49488,0.97646,1.84423,0.30952,0.38235,0.16107,0.01624,0,0,0,0,4.11618,11.4208,1.01878,22.5935,4.86234,0.00188976,0.00188976,0.0388898
3,15.3196,1.26371,10.4976,0.50432,0.91578,1.84839,0.00097,0.05882,0.00053,5e-05,0,0,0,0,4.74792,11.6214,0.77091,28.7436,4.41511,0.00284858,0.00284858,0.00784858
4,19.3948,1.15329,10.1321,0.49267,0.92392,1.82226,0.72219,0.70588,0.75039,0.28294,0,0,0,0,2.60711,11.6417,0.83856,4.0164,3.56829,0.00299664,0.00299664,0.00299664
5,24.1149,0.96644,9.9379,0.48928,0.81542,1.62299,0,0,0,0,0,0,0,0,3.90247,11.7147,12.4926,1164.92,376.945,0.00299402,0.00299402,0.00299402
6,28.6461,0.93483,10.0094,0.47574,0.75188,1.55805,0.02856,0.02941,0.0055,0.00127,0,0,0,0,4.75836,11.3382,0.83991,7.26716,6.32682,0.00299066,0.00299066,0.00299066
7,33.1941,0.8993,9.85463,0.48509,0.68585,1.52613,0.18439,0.20588,0.07872,0.01466,0,0,0,0,3.84556,11.1905,0.7532,7.44287,4.26501,0.00298656,0.00298656,0.00298656
8,37.7925,0.84745,9.81648,0.49802,0.66512,1.50917,0.69647,0.94118,0.83023,0.46341,0,0,0,0,1.77646,10.8456,0.77898,1.54672,1.51288,0.00298172,0.00298172,0.00298172
9,42.5055,0.80309,9.90411,0.46368,0.64566,1.44539,0.97006,0.95307,0.99155,0.47919,0,0,0,0,2.07116,11.4968,0.71355,1.7244,2.08626,0.00297614,0.00297614,0.00297614
10,47.5055,0.79547,9.61717,0.46948,0.65101,1.47041,0.68013,0.97059,0.77699,0.33976,0,0,0,0,1.94283,9.86873,0.66037,2.13605,1.92203,0.00296982,0.00296982,0.00296982
11,51.9768,0.75241,9.40884,0.45877,0.61082,1.44262,0.86664,0.95589,0.8702,0.44674,0,0,0,0,1.6525,10.0651,0.67771,1.06505,1.90616,0.00296277,0.00296277,0.00296277
12,56.0952,0.76941,9.69916,0.47994,0.61344,1.41743,0.9334,0.97059,0.98684,0.45453,0,0,0,0,2.00485,10.0245,0.6698,0.96083,2.38048,0.00295499,0.00295499,0.00295499
13,60.5009,0.76566,9.28447,0.44376,0.65586,1.42131,1,0.99716,0.995,0.57901,0,0,0,0,1.66617,10.3639,0.65449,0.74193,1.90511,0.00294648,0.00294648,0.00294648
14,64.8891,0.70163,9.71264,0.45246,0.56739,1.37294,0.91873,0.99754,0.95715,0.60886,0,0,0,0,1.40654,10.0762,0.64831,0.8994,1.37785,0.00293726,0.00293726,0.00293726
15,69.6703,0.69525,9.50443,0.46401,0.59705,1.34352,0.89005,0.97059,0.95119,0.53072,0,0,0,0,1.73589,9.9259,0.68231,0.88185,1.92351,0.00292732,0.00292732,0.00292732
16,73.7622,0.70677,9.39166,0.46428,0.58354,1.36219,0.88445,0.97059,0.93907,0.56901,0,0,0,0,1.5462,9.7618,0.63687,0.71958,1.80377,0.00291667,0.00291667,0.00291667
17,77.8781,0.67142,9.56001,0.44974,0.5684,1.3382,0.9642,0.97059,0.98605,0.5609,0,0,0,0,1.5463,9.75894,0.62784,0.76865,1.66051,0.00290531,0.00290531,0.00290531
18,81.9784,0.63471,9.53012,0.4541,0.5581,1.31581,0.86841,0.97046,0.96766,0.64313,0,0,0,0,1.33184,9.95481,0.75373,0.71925,1.36063,0.00289325,0.00289325,0.00289325
19,86.4887,0.65563,9.14676,0.45059,0.57694,1.33836,0.88886,0.97059,0.97306,0.69547,0,0,0,0,1.17522,9.82356,0.65918,0.9375,1.44505,0.0028805,0.0028805,0.0028805
20,90.8684,0.64763,8.97579,0.43209,0.57419,1.32726,0.96511,0.97059,0.9661,0.6926,0,0,0,0,1.24973,9.19052,0.68795,0.58942,1.1888,0.00286706,0.00286706,0.00286706
21,95.0751,0.62139,9.25629,0.43107,0.52769,1.31875,0.96629,0.97059,0.94762,0.71116,0,0,0,0,1.2415,9.24203,0.78118,0.58552,1.03557,0.00285294,0.00285294,0.00285294
22,99.8718,0.62652,8.98546,0.43864,0.57071,1.31861,0.93895,0.97059,0.95139,0.67414,0,0,0,0,1.21928,8.80528,0.81437,0.71658,1.41827,0.00283814,0.00283814,0.00283814
23,104.015,0.60653,8.8633,0.44598,0.5453,1.29512,0.97489,1,0.995,0.75445,0.03211,0.02941,0.00194,0.00019,1.00562,9.58037,0.74406,0.6272,0.9402,0.00282268,0.00282268,0.00282268
24,109.464,0.61831,8.80251,0.44154,0.5503,1.29845,0.98714,1,0.995,0.75394,0,0,0,0,1.12345,9.34822,0.69155,0.57524,1.03296,0.00280657,0.00280657,0.00280657
25,114.889,0.58488,8.46772,0.42493,0.53509,1.28099,0.97126,0.99396,0.96814,0.69739,0.03742,0.02941,0.00368,0.00037,1.16529,8.29184,0.65229,0.67748,1.13259,0.0027898,0.0027898,0.0027898
26,120.234,0.58474,8.54828,0.41935,0.52688,1.29082,0.91117,0.97059,0.95358,0.65006,0.0278,0.02941,0.00288,0.00029,1.20846,9.32416,0.68106,0.64981,1.27782,0.00277239,0.00277239,0.00277239
27,124.295,0.61388,8.95846,0.42334,0.56557,1.30237,0.96669,1,0.98329,0.69429,0.00328,0.02941,0.00178,0.00018,1.06755,8.85537,0.69822,0.84159,1.3711,0.00275434,0.00275434,0.00275434
28,128.464,0.58254,8.28822,0.40903,0.52443,1.30334,1,0.99311,0.995,0.76113,0.02833,0.02941,0.0032,0.00096,1.02415,8.3323,0.70982,0.54819,1.1252,0.00273567,0.00273567,0.00273567
29,133.073,0.61571,8.54086,0.39702,0.54669,1.30602,0.33316,0.94045,0.34183,0.26167,0,0,0,0,1.04861,8.11353,0.73325,1.81535,1.04477,0.00271639,0.00271639,0.00271639
30,137.119,0.58899,8.28712,0.40448,0.53314,1.27876,0.96478,1,0.99443,0.76606,0,0,0,0,1.1096,8.08178,0.77631,0.60213,1.33134,0.0026965,0.0026965,0.0026965
31,141.807,0.60895,8.15679,0.38491,0.51789,1.30112,0.88751,0.92837,0.9772,0.64343,0.03661,0.05882,0.01055,0.00106,1.33424,7.19028,0.73706,0.70098,1.25952,0.00267602,0.00267602,0.00267602
32,146.042,0.60209,8.10131,0.39918,0.54064,1.28978,0.99923,1,0.995,0.7516,0.03121,0.02941,0.00359,0.00036,1.04483,8.20304,0.71805,0.56768,1.08407,0.00265495,0.00265495,0.00265495
33,150.146,0.54172,8.03016,0.39019,0.49071,1.24384,0.9936,1,0.995,0.69198,0.05936,0.05882,0.00609,0.00061,1.18707,8.4434,0.72708,0.66897,1.23457,0.00263331,0.00263331,0.00263331
34,154.883,0.5596,7.79722,0.39018,0.49611,1.26168,0.99678,1,0.995,0.76844,0.03107,0.02941,0.003,0.0012,1.06273,8.4391,0.66845,0.53713,1.13725,0.00261111,0.00261111,0.00261111
35,159.656,0.573,7.78839,0.37878,0.50018,1.27394,0.99714,1,0.995,0.7755,0.1466,0.14706,0.03989,0.00907,1.07574,6.88762,0.61615,0.5916,1.27621,0.00258835,0.00258835,0.00258835
36,164.49,0.54671,7.68933,0.3827,0.52205,1.26545,0.88591,1,0.97708,0.64322,0.18281,0.20588,0.05724,0.00763,1.23991,7.28554,0.57059,0.76117,1.29668,0.00256505,0.00256505,0.00256505
