epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1412,1.40894,3.69686,2.44293,1.59006,0,0.97105,0.09755,0.63871,0.3701,0.9413,0.08682,0.34427,0.11483,1.46206,17.1357,2.97274,1.63411,0,0.000822785,0.000822785,0.0679114
2,30.8446,1.11504,2.23814,1.42061,1.39576,0,0.64883,0.61523,0.68036,0.41425,0.55496,0.61378,0.59318,0.32744,1.4778,2.88541,1.9059,1.59434,0,0.00165594,0.00165594,0.0354112
3,38.1524,1.08584,2.02367,1.26254,1.3729,0,0.81727,0.68597,0.80096,0.40606,0.71713,0.73226,0.75265,0.35986,1.58636,2.33856,1.84402,1.58288,0,0.00248837,0.00248837,0.00291031
4,45.7503,1.08926,1.93878,1.22656,1.36399,0,0.85232,0.74549,0.82137,0.48793,0.85318,0.75643,0.83424,0.54239,1.46718,1.94039,1.52032,1.47967,0,0.00249756,0.00249756,0.00249756
5,54.045,1.01493,1.8133,1.08174,1.30073,0,0.80367,0.68363,0.81846,0.51554,0.79966,0.67228,0.79327,0.50476,1.31407,2.02534,4.09827,1.4099,0,0.00249566,0.00249566,0.00249566
6,61.1635,0.98547,1.69897,1.03809,1.28605,0,0.89636,0.87902,0.89957,0.6158,0.88832,0.86976,0.88822,0.6648,1.17868,1.54792,1.20632,1.34042,0,0.00249322,0.00249322,0.00249322
7,68.0038,0.93269,1.5647,0.95357,1.25059,0,0.94112,0.8302,0.89231,0.6451,0.94112,0.8302,0.89241,0.70664,1.15021,1.35164,1.46643,1.27994,0,0.00249024,0.00249024,0.00249024
8,75.3772,0.91588,1.45949,0.92599,1.2401,0,0.91978,0.83626,0.90869,0.65393,0.91978,0.83626,0.90259,0.63871,1.16142,1.58083,0.94276,1.30616,0,0.00248672,0.00248672,0.00248672
9,82.1065,0.88299,1.4591,0.87286,1.22222,0,0.92583,0.87666,0.92851,0.69933,0.916,0.86745,0.91445,0.72456,1.01082,1.34306,0.93962,1.23762,0,0.00248267,0.00248267,0.00248267
10,88.9242,0.87754,1.47243,0.86401,1.20824,0,0.90663,0.85037,0.91125,0.6849,0.90663,0.85037,0.90789,0.69468,1.02336,1.78996,1.03135,1.23344,0,0.00247808,0.00247808,0.00247808
11,95.8141,0.87791,1.50276,0.83798,1.21465,0,0.91929,0.88923,0.90986,0.68317,0.90902,0.88048,0.89561,0.68477,0.99631,1.47729,0.94239,1.20684,0,0.00247296,0.00247296,0.00247296
12,103.233,0.86188,1.41687,0.81695,1.20544,0,0.95375,0.90741,0.93895,0.69949,0.95375,0.90741,0.93612,0.7433,1.06589,1.23303,0.88745,1.22704,0,0.0024673,0.0024673,0.0024673
13,111.426,0.84347,1.32678,0.79944,1.18363,0,0.97209,0.84118,0.9489,0.74825,0.97306,0.84062,0.94333,0.76875,0.93497,1.11359,0.86583,1.18021,0,0.00246112,0.00246112,0.00246112
14,118.633,0.80101,1.27495,0.76427,1.15808,0,0.9318,0.90629,0.93217,0.73318,0.9318,0.90629,0.9357,0.75844,0.97741,1.17497,0.85101,1.18314,0,0.00245441,0.00245441,0.00245441
15,125.143,0.78868,1.31255,0.741,1.1496,0,0.92791,0.89425,0.93604,0.72042,0.91974,0.88499,0.93353,0.73738,0.97812,1.40695,0.80188,1.18848,0,0.00244718,0.00244718,0.00244718
16,132.173,0.77441,1.23383,0.72754,1.14771,0,0.96371,0.88051,0.93797,0.72824,0.96371,0.88051,0.93691,0.77898,0.94087,1.12585,0.82485,1.1865,0,0.00243943,0.00243943,0.00243943
17,138.823,0.76769,1.15646,0.71041,1.1503,0,0.88255,0.8698,0.94743,0.71825,0.88255,0.8698,0.94286,0.72554,0.94479,1.18927,0.90118,1.18464,0,0.00243117,0.00243117,0.00243117
18,146.491,0.79619,1.25853,0.7258,1.14613,0,0.90489,0.94335,0.95335,0.72067,0.91567,0.90692,0.94437,0.74411,0.99106,1.15895,0.79504,1.14932,0,0.00242239,0.00242239,0.00242239
19,153.456,0.78675,1.22702,0.70268,1.12554,0,0.92457,0.91179,0.94249,0.73144,0.9107,0.89858,0.9263,0.75061,0.91366,1.22188,0.83745,1.15419,0,0.0024131,0.0024131,0.0024131
20,161.192,0.76285,1.22723,0.68591,1.12927,0,0.89187,0.89136,0.93655,0.73401,0.88439,0.88267,0.91526,0.74798,0.90573,1.15677,1.08425,1.15819,0,0.00240331,0.00240331,0.00240331
